RPM, revolutions_per_minute
SPEED, kph
DISTANCE_W_MIL, kilometer
INTAKE_PRESSURE, kilopascal
WARMUPS_SINCE_DTC_CLEAR, count
RUN_TIME, second
CONTROL_MODULE_VOLTAGE, volt
COOLANT_TEMP, degC
ENGINE_LOAD, percent
COMMANDED_EGR, percent
FUEL_RAIL_PRESSURE_DIRECT, kilopascal 
THROTTLE_POS, percent
ELM_VOLTAGE, voltage
O2_S1_WR_CURRENT, milliampere 
O2_S1_WR_VOLTAGE, volt
ACCELERATOR_POS_E, percent
EGR_ERROR, percent
THROTTLE_ACTUATOR, percent 
BAROMETRIC_PRESSURE, kilopascal 
ACCELERATOR_POS_D, percent
TIME_SINCE_DTC_CLEARED, minute
